sl_no,sku,name,category,subcategory,description,tags,sellingPrice,netPrice,costGold,costStone,costMaking,costOther,stockQuantity,lowStockThreshold,metal,purity,grossWeight,netWeight,stoneWeight,stoneType,stoneQuality,hsnCode,barcode,status
17,RN008,"Ruby & Diamond Ring","Diamond Jewellery","Rings","Ruby center stone with halo diamonds","ruby,red stone,halo,engagement",48000,38000,12000,20000,4000,2000,6,2,"18K Rose Gold",18K,3.5,3.1,0.4,Ruby,AA,7113,89010012,active
18,PD002,"Om Pendant","Gold Jewellery","Pendants","Religious Om pendant in pure gold","om,religious,god,pendant",18000,14000,12000,0,1500,500,12,3,"24K Yellow Gold",24K,2.5,2.5,0,None,None,7113,89010013,active
19,BG002,"Diamond Bangle","Diamond Jewellery","Bangles","Single line diamond bangle in white gold","diamond bangle,single line,white gold,party wear",125000,95000,35000,50000,8000,2000,3,1,"18K White Gold",18K,12.0,11.5,0.5,"Natural Diamond",SI,7113,89010014,active
20,NK003,"Silver Antique Necklace","Silver Jewellery","Necklaces","Oxidized silver choker necklace","oxidized,silver,antique,choker",8500,6000,2500,0,3000,500,8,2,"Sterling Silver",925,45.0,45.0,0,None,None,7113,89010015,active
21,ER003,"Diamond Stud Earrings","Diamond Jewellery","Earrings","Classic 0.5ct diamond stud earrings","studs,daily wear,diamond,classic",45000,32000,8000,20000,3000,1000,8,2,"18K White Gold",18K,1.5,1.3,0.2,"Lab Grown Diamond",VVS,7113,89010016,active
22,BR003,"Kada Bracelet","Gold Jewellery","Bracelets","Men's heavy gold kada","kada,men,heavy,traditional",180000,155000,140000,0,12000,3000,2,1,"22K Yellow Gold",22K,30.0,30.0,0,None,None,7113,89010017,active
23,BR004,"Classic Wedding Bands","Wedding Rings","Bands","Matching gold bands for him and her (set)","couple bands,matching,wedding,rings",55000,42000,35000,0,5000,2000,5,1,"18K Yellow Gold",18K,8.0,8.0,0,None,None,7113,89010018,active
24,NK004,"Polki Choker","Gold Jewellery","Necklaces","Grand uncut diamond polki choker","polki,uncut diamond,choker,bridal",450000,360000,150000,180000,25000,5000,1,1,"22K Yellow Gold",22K,45.0,40.0,5.0,Polki,High,7113,89010019,active
25,PD003,"Ganesha Pendant","Silver Jewellery","Pendants","Sterling silver Lord Ganesha pendant","ganesha,god,religious,silver",2500,1500,500,0,800,200,20,5,"Sterling Silver",925,5.0,5.0,0,None,None,7113,89010020,active
26,BG003,"Diamond Bolo Bracelet","Diamond Jewellery","Bracelets","Adjustable bolo bracelet with diamonds","bolo,adjustable,diamond,bracelet",65000,50000,20000,25000,4000,1000,5,2,"18K Rose Gold",18K,6.5,6.2,0.3,"Natural Diamond",SI,7113,89010021,active
27,ER004,"Chandbali Earrings","Gold Jewellery","Earrings","Tradional chandbali earrings with pearls","chandbali,traditional,pearl,heavy",95000,75000,60000,5000,8000,2000,3,1,"22K Yellow Gold",22K,18.0,17.0,1.0,Pearl,AAA,7113,89010022,active
28,RN009,"Blue Topaz Ring","Silver Jewellery","Rings","Silver ring with large blue topaz stone","blue topaz,silver,ring,gemstone",3500,2200,800,800,400,200,12,3,"Sterling Silver",925,4.0,3.5,0.5,Topaz,A,7113,89010023,active
29,NK005,"Chain Necklace","Gold Jewellery","Necklaces","Plain 18 inch gold chain","chain,plain,gold,daily wear",42000,36000,32000,0,3000,1000,10,3,"22K Yellow Gold",22K,7.0,7.0,0,None,None,7113,89010024,active
30,BR005,"Evil Eye Bracelet","Gold Jewellery","Bracelets","Protective evil eye bracelet in gold","evil eye,protective,modern,enamel",15000,11000,8000,500,2000,500,15,5,"18K Yellow Gold",18K,2.5,2.4,0.1,Enamel,None,7113,89010025,active
31,PD004,"Diamond Cross Pendant","Diamond Jewellery","Pendants","Small diamond cross pendant","cross,religious,diamond,minimalist",22000,16000,6000,8000,1500,500,8,2,"18K White Gold",18K,1.8,1.6,0.2,"Lab Grown Diamond",VS,7113,89010026,active
32,BG004,"Baby Bangles","Gold Jewellery","Bangles","Adjustable gold bangles for infants (pair)","baby,kids,bangles,gift",28000,22000,18000,0,3000,1000,6,2,"22K Yellow Gold",22K,4.0,4.0,0,None,None,7113,89010027,active
33,RN010,"Infinity Ring","Gold Jewellery","Rings","Infinity symbol ring with accents","infinity,symbol,rose gold,gift",18000,13000,10000,1000,1500,500,10,3,"18K Rose Gold",18K,3.0,2.9,0.1,Zircon,AAA,7113,89010028,active
34,NK006,"Layered Necklace","Gold Jewellery","Necklaces","Trendy dual layer gold necklace","layered,trendy,gold,necklace",35000,28000,22000,0,4000,2000,5,2,"18K Yellow Gold",18K,5.5,5.5,0,None,None,7113,89010029,active
35,ER005,"Hoop Earrings","Gold Jewellery","Earrings","Large plain gold hoop earrings","hoops,gold,plain,classic",25000,19000,15000,0,3000,1000,8,3,"18K Yellow Gold",18K,3.5,3.5,0,None,None,7113,89010030,active
36,BR006,"Eternity Wedding Band","Wedding Rings","Bands","Full eternity diamond band","eternity,diamond,band,wedding",78000,62000,25000,30000,5000,2000,4,2,"18K White Gold",18K,3.2,2.9,0.3,"Lab Grown Diamond",VS,7113,89010037,active
37,BR007,"Rose Gold Wedding Band","Wedding Rings","Bands","Rose gold twisted wedding band","rose gold,twist,wedding,romantic",32000,26000,22000,0,3000,1000,7,2,"18K Rose Gold",18K,4.0,4.0,0,None,None,7113,89010038,active
38,BR008,"Platinum Couple Rings","Wedding Rings","Couple Rings","Matching platinum rings with engraving","platinum,couple,engraved,matching",88000,72000,58000,0,10000,4000,3,1,Platinum,PT950,8.5,8.5,0,None,None,7113,89010039,active
39,BR009,"Diamond Wedding Band Men","Wedding Rings","Bands","Men's wedding band with channel set diamonds","men,channel set,diamond,band",52000,42000,28000,10000,3000,1000,5,2,"18K White Gold",18K,6.0,5.8,0.2,"Natural Diamond",SI,7113,89010040,active
40,NK007,"Diamond Riviera Necklace","Diamond Jewellery","Necklaces","Graduated diamond riviera necklace","riviera,graduated,luxury,diamond",285000,225000,55000,145000,20000,5000,2,1,"18K White Gold",18K,22.0,20.5,1.5,"Natural Diamond",VS,7113,89010041,active
41,ER006,"Diamond Chandelier Earrings","Diamond Jewellery","Earrings","Dramatic chandelier earrings with diamonds","chandelier,drop,diamond,party",145000,115000,40000,65000,8000,2000,2,1,"18K White Gold",18K,8.5,7.8,0.7,"Natural Diamond",VS1,7113,89010042,active
42,RN011,"Diamond Eternity Ring","Diamond Jewellery","Rings","Full eternity diamond ring","eternity,full,diamond,anniversary",95000,75000,25000,42000,6000,2000,4,2,"Platinum",PT950,4.0,3.6,0.4,"Lab Grown Diamond",VVS,7113,89010043,active
43,BR010,"Diamond Tennis Bracelet","Diamond Jewellery","Bracelets","Classic tennis bracelet 3ct total","tennis,classic,diamond,bracelet",165000,130000,45000,75000,8000,2000,3,1,"18K White Gold",18K,12.5,11.8,0.7,"Natural Diamond",VS,7113,89010044,active
44,ER007,"Silver Moonstone Earrings","Silver Jewellery","Earrings","Rainbow moonstone dangle earrings","moonstone,rainbow,dangle,boho",5500,3800,1200,1500,800,300,10,3,"Sterling Silver",925,6.5,5.8,0.7,Moonstone,AAA,7113,89010045,active
45,RN012,"Silver Amethyst Ring","Silver Jewellery","Rings","Oval amethyst ring in sterling silver","amethyst,purple,oval,silver",4200,2800,900,1200,500,200,14,4,"Sterling Silver",925,5.0,4.3,0.7,Amethyst,AA,7113,89010046,active
46,BR011,"Silver Chain Bracelet","Silver Jewellery","Bracelets","Italian silver curb chain bracelet","chain,curb,italian,silver",3800,2500,1500,0,800,200,12,4,"Sterling Silver",925,8.0,8.0,0,None,None,7113,89010047,active
47,NK008,"Silver Layered Choker","Silver Jewellery","Necklaces","Multi-layer silver chain choker","layered,choker,modern,silver",6500,4500,2000,0,2000,500,9,3,"Sterling Silver",925,15.0,15.0,0,None,None,7113,89010048,active
48,PD005,"Silver Heart Locket","Silver Jewellery","Pendants","Heart shaped locket with chain","locket,heart,keepsake,silver",3200,2100,1000,0,900,200,18,5,"Sterling Silver",925,7.5,7.5,0,None,None,7113,89010049,active
49,BG005,"Silver Oxidized Bangles","Silver Jewellery","Bangles","Set of 6 oxidized silver bangles","oxidized,set,tribal,bangles",4500,3000,1500,0,1200,300,10,3,"Sterling Silver",925,25.0,25.0,0,None,None,7113,89010050,active
50,RN013,"Marquise Engagement Ring","Engagement Rings","Designer Rings","Elegant marquise cut with tapered baguettes","marquise,baguette,elegant,unique",105000,85000,30000,48000,5000,2000,4,2,"Platinum",PT950,5.5,5.0,0.5,"Natural Diamond",VS1,7113,89010051,active
